# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
8053.3000 M87 990325 2 1978.3000 p49 p73 267 N p49->p43->p73
8098.7000 M90 663625 3 1805.7000 p83 p62 269 N p83->p69->p67->p62
8103.4000 M99 954668 3 1176.4000 p26 p46 280 N p26->p24->p29->p46
8134.1000 M108 530235 2 583.1000 p1 p19 290 N p1->p37->p19
8143.7000 M100 971584 3 1151.7000 p51 p42 280 N p51->p24->p44->p42
8165.1000 M110 839088 2 475.1000 p29 p79 292 N p29->p95->p79
8304.7000 M114 785174 2 333.7000 p33 p34 294 N p33->p67->p34
8395.2000 M105 744700 1 1053.2000 p59 p72 282 N p59->p72
8459.3000 M117 588091 4 283.3000 p40 p14 295 N p40->p64->p24->p30->p14
8508.1000 M106 967044 3 1101.1000 p81 p17 281 N p81->p44->p22->p17
8587.1000 M76 892737 2 3275.1000 p91 p38 245 N p91->p76->p38
8611.2000 M119 668212 2 295.2000 p9 p80 295 N p9->p70->p80
8700.5000 M112 952005 2 866.5000 p46 p1 285 N p46->p91->p1
8840.7000 M120 832182 3 451.7000 p37 p86 292 N p37->p84->p81->p86
8919.0000 M104 930082 3 1643.0000 p20 p82 272 N p20->p70->p71->p82
8944.5000 M109 922600 3 1321.5000 p35 p33 277 N p35->p14->p41->p33
8980.8000 M113 667772 3 1078.8000 p50 p57 282 N p50->p65->p28->p57
9140.1000 M118 787394 1 893.1000 p68 p76 285 N p68->p76
9237.4000 M98 727857 2 2377.4000 p9 p91 260 N p9->p77->p91
9295.4000 M92 799189 2 2857.4000 p53 p50 252 N p53->p21->p50
9366.2000 M111 674532 3 1605.2000 p37 p24 273 N p37->p94->p59->p24
9404.6000 M115 753632 1 1367.6000 p38 p41 277 N p38->p41
9496.7000 M124 702195 2 832.7000 p28 p39 286 N p28->p52->p39
9556.6000 M116 972891 3 1449.6000 p50 p48 275 N p50->p85->p70->p48
9626.2000 M125 717958 2 890.2000 p0 p27 285 N p0->p53->p27
9632.1000 M134 934226 4 279.1000 p6 p31 295 N p6->p71->p93->p41->p31
9640.9000 M135 610314 1 216.9000 p66 p34 296 N p66->p34
9734.4000 M127 975887 1 861.4000 p76 p18 285 N p76->p18
9748.3000 M128 883370 2 810.3000 p79 p55 286 N p79->p81->p55
9751.4000 M107 751567 1 2270.4000 p55 p81 262 N p55->p81
9755.1000 M122 656381 4 1232.1000 p44 p51 279 N p44->p26->p43->p88->p51
9845.6000 M130 856906 2 770.6000 p39 p72 287 N p39->p10->p72
9901.3000 M137 650680 3 346.3000 p93 p58 294 N p93->p53->p30->p58
9918.3000 M123 660979 3 1323.3000 p27 p25 277 N p27->p61->p88->p25
