# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
6899.5000 M34 844772 5 4532.5000 c38 c36 224 N c38->c41->c51->w70->c42->c36
6919.2000 M84 745447 7 1055.2000 c52 w71 282 N c52->p14->t91->t90->t91->w68->t92->w71
6940.0000 M86 667043 5 933.0000 w63 w62 284 N w63->w66->w75->p13->c45->w62
7047.6000 M69 580609 9 2226.6000 w67 p14 262 N w67->c31->c47->c48->w89->p0->t94->t95->t93->p14
7259.3000 M102 825032 2 123.3000 c55 p1 297 N c55->p3->p1
7461.9000 M105 744700 2 119.9000 c59 w72 298 N c59->p1->w72
8154.2000 M101 827479 7 1090.2000 w60 w82 281 N w60->c50->c52->c55->p4->w70->w73->w82
8165.5000 M110 839088 3 475.5000 p29 w79 292 N p29->p19->p4->w79
8407.3000 M100 971584 7 1415.3000 c51 c42 276 N c51->p8->p5->w64->c30->c50->w80->c42
8413.5000 M112 952005 5 579.5000 c46 p1 290 N c46->p22->w60->c41->c56->p1
8510.3000 M111 674532 9 749.3000 c37 p24 287 N c37->t90->t91->w77->c39->t95->w84->w63->c49->p24
8606.3000 M122 656381 1 83.3000 c44 c51 298 N c44->c51
8613.5000 M114 785174 5 642.5000 c33 c34 289 N c33->w75->p27->c37->p28->c34
8728.4000 M120 832182 1 339.4000 c37 w86 294 N c37->w86
8744.8000 M117 588091 3 568.8000 c40 p14 290 N c40->c46->p11->p14
8746.3000 M121 987656 1 288.3000 w67 c58 295 N w67->c58
9348.9000 M125 717958 5 612.9000 p0 p27 289 N p0->c40->w63->p5->p28->p27
9600.6000 M130 856906 9 525.6000 c39 w72 291 N c39->w65->p3->c33->p27->c59->w68->p11->w77->w72
9645.7000 M132 655095 3 432.7000 p19 c59 292 N p19->c41->c52->c59
9726.5000 M134 934226 1 373.5000 p6 c31 293 N p6->c31
