# time totalContactTime
1283.6000 978.0000
1284.7000 981.2000
1285.8000 984.5000
1286.9000 987.5000
1288.0000 989.9000
1289.1000 993.3000
1290.2000 997.7000
1291.3000 1002.1000
1292.4000 1006.2000
1293.5000 1008.5000
1294.6000 1010.7000
1295.7000 1012.9000
1296.8000 1015.1000
1297.9000 1018.2000
1299.0000 1021.2000
1300.1000 1024.5000
1301.2000 1027.4000
1302.3000 1029.6000
1303.4000 1031.6000
1304.5000 1032.7000
1305.6000 1035.9000
1306.7000 1039.2000
1307.8000 1043.2000
1308.9000 1045.9000
1310.0000 1048.1000
1311.1000 1050.6000
1312.2000 1053.1000
1313.3000 1056.1000
1314.4000 1058.8000
1315.5000 1062.6000
1316.6000 1065.5000
1317.7000 1068.8000
1318.8000 1073.2000
1319.9000 1077.5000
1321.0000 1081.4000
1322.1000 1084.9000
1323.2000 1087.1000
1324.3000 1090.2000
1325.4000 1092.7000
1326.5000 1094.9000
1327.6000 1097.0000
1328.7000 1099.2000
1329.8000 1101.4000
1330.9000 1103.7000
1332.0000 1107.0000
1333.1000 1109.3000
1334.2000 1111.9000
1335.3000 1115.2000
1336.4000 1118.5000
1337.5000 1121.3000
1338.6000 1122.4000
1339.7000 1122.5000
1340.8000 1123.3000
1341.9000 1125.5000
1343.0000 1127.7000
1344.1000 1129.5000
1345.2000 1131.9000
1346.3000 1134.1000
1347.4000 1136.3000
1348.5000 1137.2000
1349.6000 1138.3000
1350.7000 1140.0000
1351.8000 1141.8000
1352.9000 1142.9000
1354.0000 1144.0000
1355.1000 1145.1000
1356.2000 1146.2000
1357.3000 1148.2000
1358.4000 1150.4000
1359.5000 1152.6000
1360.6000 1154.0000
1361.7000 1155.9000
1362.8000 1158.1000
1363.9000 1160.3000
1365.0000 1162.1000
1366.1000 1164.3000
1367.2000 1166.8000
1368.3000 1172.1000
1369.4000 1178.1000
1370.5000 1185.2000
1371.6000 1191.8000
1372.7000 1199.8000
1373.8000 1207.8000
1374.9000 1214.5000
1376.0000 1220.8000
1377.1000 1223.9000
1378.2000 1226.1000
1379.3000 1227.4000
1380.4000 1229.6000
1381.5000 1231.8000
1382.6000 1236.8000
1383.7000 1242.5000
1384.8000 1249.1000
1385.9000 1255.7000
1387.0000 1259.4000
1388.1000 1264.4000
1389.2000 1270.8000
1390.3000 1278.5000
1391.4000 1285.3000
1392.5000 1289.5000
1393.6000 1291.9000
1394.7000 1294.1000
1395.8000 1298.1000
1396.9000 1302.5000
1398.0000 1307.0000
1399.1000 1312.8000
1400.2000 1317.2000
1401.3000 1319.7000
1402.4000 1321.6000
1403.5000 1322.9000
1404.6000 1324.0000
1405.7000 1324.8000
1407.9000 1325.8000
1409.0000 1328.1000
1410.1000 1332.1000
1411.2000 1336.0000
1412.3000 1340.1000
1413.4000 1343.8000
1414.5000 1347.1000
1415.6000 1350.2000
1416.7000 1351.8000
1417.8000 1352.9000
1418.9000 1353.1000
1420.0000 1354.2000
1421.1000 1355.3000
1422.2000 1357.5000
1423.3000 1359.1000
1424.4000 1361.1000
1425.5000 1362.7000
1426.6000 1363.8000
1427.7000 1364.9000
1428.8000 1365.5000
1431.0000 1366.7000
1432.1000 1368.9000
1433.2000 1371.1000
1434.3000 1372.8000
1435.4000 1374.4000
1436.5000 1376.6000
1437.6000 1378.8000
1438.7000 1381.3000
1439.8000 1385.0000
1440.9000 1390.7000
1442.0000 1397.3000
1443.1000 1403.1000
1444.2000 1407.8000
1445.3000 1412.2000
1446.4000 1416.5000
1447.5000 1422.0000
1448.6000 1427.5000
1449.7000 1432.1000
1450.8000 1436.3000
1451.9000 1439.6000
1453.0000 1442.9000
1454.1000 1445.3000
1455.2000 1447.5000
1456.3000 1451.7000
1457.4000 1457.9000
1458.5000 1464.9000
1459.6000 1471.3000
1460.7000 1474.9000
1461.8000 1478.2000
1462.9000 1482.6000
1464.0000 1487.9000
1465.1000 1493.6000
1466.2000 1501.0000
1467.3000 1507.2000
1468.4000 1512.5000
1469.5000 1517.2000
1470.6000 1523.2000
1471.7000 1529.8000
1472.8000 1536.4000
1473.9000 1542.1000
1475.0000 1547.4000
1476.1000 1551.8000
1477.2000 1556.8000
1478.3000 1561.9000
