# time totalContactTime
1262.7000 6184.1000
1263.8000 6199.9000
1264.9000 6215.3000
1266.0000 6233.6000
1267.1000 6251.2000
1268.2000 6269.5000
1269.3000 6288.2000
1270.4000 6307.8000
1271.5000 6328.0000
1272.6000 6348.1000
1273.7000 6370.2000
1274.8000 6392.0000
1275.9000 6414.9000
1277.0000 6437.5000
1278.1000 6460.6000
1279.2000 6484.7000
1280.3000 6509.3000
1281.4000 6533.3000
1282.5000 6558.6000
1283.6000 6582.8000
1284.7000 6607.0000
1285.8000 6631.2000
1286.9000 6655.4000
1288.0000 6680.2000
1289.1000 6705.7000
1290.2000 6731.1000
1291.3000 6754.9000
1292.4000 6778.0000
1293.5000 6801.8000
1294.6000 6824.9000
1295.7000 6847.3000
1296.8000 6871.4000
1297.9000 6898.1000
1299.0000 6925.6000
1300.1000 6951.0000
1301.2000 6976.4000
1302.3000 7002.1000
1303.4000 7028.9000
1304.5000 7058.6000
1305.6000 7088.1000
1306.7000 7118.7000
1307.8000 7150.0000
1308.9000 7181.5000
1310.0000 7213.5000
1311.1000 7246.6000
1312.2000 7278.5000
1313.3000 7310.1000
1314.4000 7343.4000
1315.5000 7378.6000
1316.6000 7412.0000
1317.7000 7445.0000
1318.8000 7480.7000
1319.9000 7518.1000
1321.0000 7554.6000
1322.1000 7589.1000
1323.2000 7623.5000
1324.3000 7657.4000
1325.4000 7692.1000
1326.5000 7725.6000
1327.6000 7757.5000
1328.7000 7787.7000
1329.8000 7816.6000
1330.9000 7846.0000
1332.0000 7874.6000
1333.1000 7902.4000
1334.2000 7932.8000
1335.3000 7960.5000
1336.4000 7989.6000
1337.5000 8021.8000
1338.6000 8056.7000
1339.7000 8092.0000
1340.8000 8126.5000
1341.9000 8159.3000
1343.0000 8190.1000
1344.1000 8220.4000
1345.2000 8249.1000
1346.3000 8278.8000
1347.4000 8307.0000
1348.5000 8336.6000
1349.6000 8366.9000
1350.7000 8396.8000
1351.8000 8426.6000
1352.9000 8455.2000
1354.0000 8481.7000
1355.1000 8507.6000
1356.2000 8533.9000
1357.3000 8560.0000
1358.4000 8585.5000
1359.5000 8610.8000
1360.6000 8636.9000
1361.7000 8665.3000
1362.8000 8695.2000
1363.9000 8725.6000
1365.0000 8759.7000
1366.1000 8793.8000
1367.2000 8827.3000
1368.3000 8861.3000
1369.4000 8895.1000
1370.5000 8930.4000
1371.6000 8967.7000
1372.7000 9004.1000
1373.8000 9038.7000
1374.9000 9072.1000
1376.0000 9107.8000
1377.1000 9146.4000
1378.2000 9184.9000
1379.3000 9222.8000
1380.4000 9261.6000
1381.5000 9300.8000
1382.6000 9339.5000
1383.7000 9377.5000
1384.8000 9416.4000
1385.9000 9453.5000
1387.0000 9488.8000
1388.1000 9525.3000
1389.2000 9562.6000
1390.3000 9598.9000
1391.4000 9635.7000
1392.5000 9674.1000
1393.6000 9711.9000
1394.7000 9749.5000
1395.8000 9788.6000
1396.9000 9829.3000
1398.0000 9870.8000
1399.1000 9911.1000
1400.2000 9952.1000
1401.3000 9991.0000
1402.4000 10032.4000
1403.5000 10077.4000
1404.6000 10121.8000
1405.7000 10167.6000
1406.8000 10214.9000
1407.9000 10261.9000
1409.0000 10308.1000
1410.1000 10353.3000
1411.2000 10395.2000
1412.3000 10435.0000
1413.4000 10474.9000
1414.5000 10515.6000
1415.6000 10556.5000
1416.7000 10594.1000
1417.8000 10630.1000
1418.9000 10662.9000
1420.0000 10694.8000
1421.1000 10724.3000
1422.2000 10751.7000
1423.3000 10778.1000
1424.4000 10803.9000
1425.5000 10826.4000
1426.6000 10848.4000
1427.7000 10870.4000
1428.8000 10891.5000
1429.9000 10912.6000
1431.0000 10934.3000
1432.1000 10958.0000
1433.2000 10982.2000
1434.3000 11005.9000
1435.4000 11029.0000
1436.5000 11052.1000
1437.6000 11075.6000
1438.7000 11098.6000
1439.8000 11120.6000
1440.9000 11143.7000
1442.0000 11169.0000
1443.1000 11194.1000
1444.2000 11218.2000
1445.3000 11241.8000
1446.4000 11266.0000
1447.5000 11290.2000
1448.6000 11316.8000
1449.7000 11346.2000
1450.8000 11378.7000
1451.9000 11409.3000
1453.0000 11437.9000
1454.1000 11466.8000
1455.2000 11498.1000
1456.3000 11531.1000
1457.4000 11563.4000
1458.5000 11594.0000
1459.6000 11624.0000
1460.7000 11653.1000
1461.8000 11681.3000
1462.9000 11708.1000
1464.0000 11735.4000
1465.1000 11762.9000
1466.2000 11789.9000
1467.3000 11817.4000
1468.4000 11843.2000
1469.5000 11867.9000
1470.6000 11893.9000
1471.7000 11921.4000
1472.8000 11951.4000
1473.9000 11981.4000
1475.0000 12009.8000
1476.1000 12036.4000
1477.2000 12063.7000
1478.3000 12092.3000
1479.4000 12120.9000
1480.5000 12150.6000
1481.6000 12183.3000
1482.7000 12217.7000
1483.8000 12252.9000
1484.9000 12288.4000
1486.0000 12326.3000
1487.1000 12365.5000
1488.2000 12405.0000
1489.3000 12442.9000
1490.4000 12479.3000
1491.5000 12514.1000
1492.6000 12548.7000
1493.7000 12584.2000
1494.8000 12618.6000
1495.9000 12650.6000
1497.0000 12681.2000
1498.1000 12710.9000
1499.2000 12740.1000
1500.3000 12768.4000
1501.4000 12796.8000
1502.5000 12822.3000
1503.6000 12848.0000
1504.7000 12874.8000
1505.8000 12898.7000
1506.9000 12921.8000
1508.0000 12945.5000
1509.1000 12968.8000
1510.2000 12991.4000
1511.3000 13013.9000
1512.4000 13038.0000
1513.5000 13061.5000
1514.6000 13084.6000
1515.7000 13107.8000
1516.8000 13130.3000
1517.9000 13153.1000
1519.0000 13175.0000
1520.1000 13197.7000
1521.2000 13220.0000
1522.3000 13242.0000
1523.4000 13265.0000
1524.5000 13289.0000
1525.6000 13313.2000
1526.7000 13337.2000
