# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
4215.7000 M107 751567 3 1014.7000 c55 w81 283 N c55->c54->w83->w81
4306.6000 M103 602605 4 1223.6000 w78 w71 279 N w78->w84->w60->p14->w71
4342.3000 M48 884863 3 2905.3000 w83 c32 251 N w83->w65->p2->c32
4350.5000 M54 953264 3 2733.5000 t91 c45 254 N t91->w89->c50->c45
4364.7000 M110 839088 2 1074.7000 p29 w79 282 N p29->w84->w79
4428.2000 M76 892737 3 2156.2000 t91 c38 264 N t91->t90->w79->c38
4585.9000 M108 530235 1 1354.9000 p1 p19 277 N p1->p19
4601.3000 M105 744700 2 1459.3000 c59 w72 275 N c59->c57->w72
4607.8000 M63 895682 2 2717.8000 p10 w73 254 N p10->t90->w73
4641.0000 M128 883370 2 823.0000 w79 c55 286 N w79->c32->c55
4650.9000 M153 564908 2 105.9000 p11 p8 298 N p11->w60->p8
4657.3000 M119 668212 3 1101.3000 p9 w80 281 N p9->c46->t90->w80
4796.8000 M132 655095 3 863.8000 p19 c59 285 N p19->c34->p7->c59
4832.9000 M115 753632 2 1395.9000 c38 c41 276 N c38->p12->c41
4889.1000 M133 564059 3 926.1000 c31 c47 284 N c31->c50->w62->c47
4911.6000 M145 969956 3 596.6000 c48 c33 290 N c48->p11->p15->c33
4914.2000 M117 588091 1 1418.2000 c40 p14 276 N c40->p14
4941.8000 M27 707738 2 4156.8000 p26 c41 230 N p26->p7->c41
4947.3000 M120 832182 2 1358.3000 c37 w86 277 N c37->w74->w86
4963.0000 M112 952005 3 1609.0000 c46 p1 273 N c46->p4->p21->p1
4996.8000 M134 934226 3 1003.8000 p6 c31 283 N p6->p23->w80->c31
5031.4000 M138 650867 4 923.4000 w68 p5 284 N w68->p2->p20->c38->p5
5076.1000 M100 971584 3 2084.1000 c51 c42 265 N c51->p9->w69->c42
5180.9000 M157 589989 2 512.9000 c44 p19 291 N c44->w60->p19
5190.1000 M91 920835 1 2464.1000 c58 t92 258 N c58->t92
5210.4000 M154 892167 2 634.4000 w88 c40 289 N w88->c32->c40
5263.3000 M142 541080 2 1043.3000 w72 w62 282 N w72->p3->w62
5269.4000 M95 563385 4 2417.4000 c46 p25 259 N c46->w75->p24->p23->p25
5275.3000 M165 591118 2 370.3000 c45 c36 293 N c45->c44->c36
5323.7000 M80 626408 3 2934.7000 c54 p8 251 N c54->w75->w62->p8
5348.7000 M124 702195 3 1644.7000 p28 c39 272 N p28->w89->p23->c39
5374.9000 M147 592991 2 1001.9000 p3 c37 283 N p3->w83->c37
5377.7000 M78 861599 3 3043.7000 w69 p1 249 N w69->p17->p0->p1
5380.8000 M98 727857 2 2440.8000 p9 t91 259 N p9->p15->t91
5443.1000 M129 772566 1 1595.1000 p0 c46 273 N p0->c46
5495.8000 M111 674532 4 2174.8000 c37 p24 263 N c37->t90->w82->w70->p24
5560.2000 M49 955987 2 4095.2000 p8 p23 231 N p8->p27->p23
5563.1000 M125 717958 3 1827.1000 p0 p27 269 N p0->p4->t95->p27
5565.5000 M166 591987 2 633.5000 c39 t95 289 N c39->p23->t95
5589.8000 M156 714999 1 953.8000 w70 c45 284 N w70->c45
5613.8000 M183 951280 1 163.8000 c54 c44 297 N c54->c44
5638.4000 M144 823113 2 1355.4000 p8 w74 277 N p8->w83->w74
5655.2000 M160 876289 3 896.2000 t91 p25 285 N t91->t90->c35->p25
5694.0000 M150 698615 2 1240.0000 p28 p27 279 N p28->c46->p27
5723.6000 M186 648681 4 188.6000 w61 p8 296 N w61->t94->p23->t91->p8
5734.4000 M101 827479 1 2710.4000 w60 w82 254 N w60->w82
5747.9000 M177 669688 2 473.9000 w66 c58 292 N w66->p0->c58
5757.5000 M167 558919 1 792.5000 p17 p5 286 N p17->p5
5820.3000 M114 785174 2 2409.3000 c33 c34 259 N c33->w60->c34
5831.4000 M126 898385 2 2063.4000 w64 t91 265 N w64->c53->t91
5873.4000 M36 612761 1 4813.4000 c38 t91 219 N c38->t91
5881.8000 M68 649807 1 3854.8000 p22 p9 235 N p22->p9
5903.7000 M137 650680 1 1828.7000 t93 c58 269 N t93->c58
5925.6000 M175 750628 3 711.6000 t91 p13 288 N t91->t90->p11->p13
5925.8000 M189 574913 3 302.8000 w66 w83 294 N w66->w81->t90->w83
6044.6000 M163 957322 4 1192.6000 p19 c38 280 N p19->w65->t94->w86->c38
6074.4000 M179 767122 4 738.4000 c41 w60 287 N c41->p6->w87->w75->w60
6110.2000 M127 975887 2 2317.2000 w76 p18 261 N w76->c55->p18
6202.8000 M3 968122 2 6118.8000 w65 p11 198 N w65->p29->p11
6218.9000 M130 856906 3 2343.9000 c39 w72 260 N c39->c53->c49->w72
6263.3000 M192 803181 2 544.3000 p11 w63 290 N p11->w75->w63
6291.8000 M143 715610 3 2042.8000 c32 w69 265 N c32->c38->w72->w69
6324.2000 M201 902705 1 335.2000 c39 w60 294 N c39->w60
6351.5000 M170 667481 2 1295.5000 c41 c59 278 N c41->p3->c59
6405.3000 M195 737647 4 601.3000 c47 p23 289 N c47->w64->p13->w72->p23
6428.9000 M184 753114 4 953.9000 w66 w72 284 N w66->c43->t92->t94->w72
6436.9000 M158 657732 1 1734.9000 c53 t90 271 N c53->t90
6499.9000 M198 611919 3 600.9000 w62 w74 289 N w62->w88->p29->w74
6522.0000 M159 849092 3 1791.0000 c36 w83 270 N c36->c47->w62->w83
6530.0000 M171 900332 4 1443.0000 c45 t93 275 N c45->c37->t90->t91->t93
6573.9000 M140 743196 3 2407.9000 c41 c48 259 N c41->c37->p27->c48
6582.3000 M31 948641 4 5669.3000 p29 p1 205 N p29->c49->c51->t90->p1
6627.7000 M122 656381 4 2984.7000 c44 c51 250 N c44->p26->c40->w81->c51
6666.9000 M196 776404 1 828.9000 c47 p25 286 N c47->p25
6680.8000 M214 723116 4 314.8000 t90 w70 294 N t90->t91->c56->p5->w70
6707.1000 M173 664855 4 1557.1000 p25 p15 274 N p25->p23->c39->p13->p15
6709.9000 M99 954668 1 3742.9000 p26 c46 237 N p26->c46
6772.4000 M164 525429 4 1895.4000 w85 w61 268 N w85->w65->c40->p5->w61
6815.2000 M169 944995 3 1792.2000 c42 p4 270 N c42->c37->c53->p4
